Function command summary table: ,,,,
,,,,
Model  Name  >>,,,,"H7550BD/ E155D/ HE-815J/ 
H1P1406/ H7550BDz"
NO,Code (character),Code (HEX),Function feature,
1,Model XXXXXXXX,4d 6f 64 65 6c 20 58 58 58 58 58 58 58 58 0d,Return the Model name,support
2,Res XXXXX,52 65 73 20 58 58 58 58 58 0d,Return the Native display resolution,support
3,Name XXXXXXXX,4e 61 6d 65 20 58 58 58 58 58 58 58 58 0d,Return the company name,support
,,,,
,,,,
Lamp command type (Projector ‘receives’ commands),,,,
NO,Code (character),Code (HEX),Function feature,
1,* 0 Lamp ? ,2a 20 30 20 4c 61 6d 70 20 3f 0d,Query the lamp ON/OFF,support
2,* 0 Lamp,2a 20 30 20 4c 61 6d 70 0d,Query the lamp hours,support
,,,,
,,,,
Lamp command type (Projector ‘transmits’ commands),,,,
NO,Code (character),Code (HEX),Function feature,
1,Lamp 0 ,4c 61 6d 70 20 30 0d,Return Lamp OFF status,support
2,Lamp 1,4c 61 6d 70 20 31 0d,Return Lamp ON status,support
3,XXXX,58 58 58 58 0d,Return Lamp hours,support
,,,,
,,,,
Source command type (Projector ‘receives’ commands),,,,
NO,Code (character),Code (HEX),Function feature,
1,* 0 Src ?,2a 20 30 20 53 72 63 20 3f 0d,Query source input type,support
